iso3,metric,household,earnings,value,year,source
LVA,tax_wedge_pct,single_nokids,100aw,41.576111,2024,OECD Taxing Wages (comparative)
NLD,tax_wedge_pct,single_nokids,100aw,35.897456,2024,OECD Taxing Wages (comparative)
NOR,tax_wedge_pct,single_nokids,100aw,36.457181,2024,OECD Taxing Wages (comparative)
POL,tax_wedge_pct,single_nokids,100aw,34.743689,2024,OECD Taxing Wages (comparative)
PRT,tax_wedge_pct,single_nokids,100aw,39.577109,2024,OECD Taxing Wages (comparative)
SVK,tax_wedge_pct,single_nokids,100aw,42.51376,2024,OECD Taxing Wages (comparative)
SVN,tax_wedge_pct,single_nokids,100aw,44.661001,2024,OECD Taxing Wages (comparative)
SWE,tax_wedge_pct,single_nokids,100aw,41.509317,2024,OECD Taxing Wages (comparative)
USA,tax_wedge_pct,single_nokids,100aw,30.069366,2024,OECD Taxing Wages (comparative)
AUT,tax_wedge_pct,single_nokids,167aw,49.064452,2024,OECD Taxing Wages (comparative)
BEL,tax_wedge_pct,single_nokids,167aw,58.591953,2024,OECD Taxing Wages (comparative)
CHE,tax_wedge_pct,single_nokids,167aw,27.441912,2024,OECD Taxing Wages (comparative)
CZE,tax_wedge_pct,single_nokids,167aw,42.637241,2024,OECD Taxing Wages (comparative)
DEU,tax_wedge_pct,single_nokids,167aw,49.052172,2024,OECD Taxing Wages (comparative)
DNK,tax_wedge_pct,single_nokids,167aw,42.164442,2024,OECD Taxing Wages (comparative)
ESP,tax_wedge_pct,single_nokids,167aw,45.795623,2024,OECD Taxing Wages (comparative)
EST,tax_wedge_pct,single_nokids,167aw,41.165919,2024,OECD Taxing Wages (comparative)
FIN,tax_wedge_pct,single_nokids,167aw,48.720039,2024,OECD Taxing Wages (comparative)
FRA,tax_wedge_pct,single_nokids,167aw,54.083823,2024,OECD Taxing Wages (comparative)
GBR,tax_wedge_pct,single_nokids,167aw,37.692709,2024,OECD Taxing Wages (comparative)
GRC,tax_wedge_pct,single_nokids,167aw,45.050389,2024,OECD Taxing Wages (comparative)
HUN,tax_wedge_pct,single_nokids,167aw,41.150442,2024,OECD Taxing Wages (comparative)
IRL,tax_wedge_pct,single_nokids,167aw,42.258304,2024,OECD Taxing Wages (comparative)
